320,0,0
480,0,0
40,40,0
200,40,0
320,80,0
40,120,0
200,120,0
320,160,0
480,160,0
40,200,0
200,200,0
0,240,0
160,240,0
320,240,0
480,240,0
280,280,0
440,280,0
0,320,0
200,360,0
360,360,0
0,400,0
160,400,0
280,440,0
440,440,0
0,480,0
160,480,0
40,0,5
120,0,5
200,0,5
360,0,5
320,40,5
80,80,5
160,80,5
240,80,5
360,80,5
0,120,5
320,120,5
480,120,5
40,160,5
120,160,5
200,160,5
360,160,5
0,200,5
160,200,5
360,200,5
440,200,5
40,240,5
200,240,5
280,240,5
440,240,5
40,280,5
320,280,5
200,320,5
280,320,5
360,320,5
440,320,5
80,360,5
160,360,5
400,360,5
200,400,5
320,400,5
400,400,5
80,440,5
160,440,5
400,440,5
200,480,5
280,480,5
360,480,5
